count,max,warehouse_id,dst_office_id,office_name,pickup_latitude,pickup_longitude
218,2023-04-24,507,167957,МСК Генерала Белобородова 23,55.834235,37.358288
561,2023-04-24,507,2217,МО Ивантеевка Новосёлки 4,55.971737,37.941741
308,2023-04-24,507,111789,МСК Нагатинская наб 40/1,55.685683,37.674684
528,2023-04-24,507,3655,МО Клин Дзержинского 22,56.32704422,36.72194222
400,2023-04-24,507,124850,МО Пущино 8А,54.834639,37.622263
370,2023-04-24,507,3104,МСК Сходненская 6к1,55.83976168,37.43912081
734,2023-04-24,507,106642,МСК Дмитровский пр 8,55.809472,37.573921
271,2023-04-24,507,528,МО Орехово-Зуево Урицкого 58,55.81341,38.968971
106,2023-04-24,507,204780,МО Балашиха Пионерская 7с1,55.744581,38.026117
985,2023-04-24,507,3310,МСК Коломенская 9с4,55.67949247,37.70215807
369,2023-04-24,507,3501,МО Домодедово Ломоносова 10,55.45237924,37.73542682
203,2023-04-24,507,3702,МО Щёлково Советская 16с1,55.91295836,37.99412666
259,2023-04-24,507,110149,МО с Ямкино Центральная Усадьба 10А,55.93296,38.388347
603,2023-04-24,507,114051,МСК Щербинка Симферопольская 4А,55.507798,37.57144
667,2023-04-24,507,2855,МСК Федеративный пр-кт 3,55.75770383,37.79837199
470,2023-04-24,507,103708,МСК Митинская 28к4,55.845552,37.373014
575,2023-04-24,507,2212,Химки Молодёжная 36А,55.890022,37.407151
276,2023-04-24,507,204697,МСК Маршала Бирюзова 22к3,55.796339,37.490847
638,2023-04-24,507,104763,МО п. Любучаны Заводская 6А,55.240418,37.54132
410,2023-04-24,507,599,МО Балашиха Свердлова 54,55.835023,37.973736
563,2023-04-24,507,105021,МСК бульвар Веласкеса 5к4,55.593754,37.457781
511,2023-04-24,507,103106,МСК Перерва 32,55.65308,37.73408
644,2023-04-24,507,3000,МО Лобня Текстильная 16,56.018734,37.430841
417,2023-04-24,507,108989,МО Королёв Комитетский Лес 1А,55.929136,37.828219
192,2023-04-24,507,169225,МО Воскресенск 1-й Школьный пер 21Г,55.269577,38.740597
885,2023-04-24,507,2162,МО Видное пр-кт Ленинского Комсомола 9к3,55.54630822,37.71041897
273,2023-04-24,507,2414,МСК Новинский бульвар 28/35с1А,55.75754661,37.58520212
357,2023-04-24,507,107120,МО п. Реммаш Спортивная 1А,56.453184,38.090594
481,2023-04-24,507,148636,МСК Удальцова 73,55.677628,37.497181
535,2023-04-24,507,109393,МО Лобня  Научный городок 15,56.0479,37.484764
1028,2023-04-24,507,112153,МО пос Ильинское-Усово Заповедная 2,55.776646,37.240878
517,2023-04-24,507,103991,МО Чехов Московская 87с1,55.152392,37.461604
246,2023-04-24,507,6129,МО д Чёрное Агрогородок 7,55.744237,38.046239
571,2023-04-24,507,108420,МСК Новая Басманная 31с1,55.769878,37.66598
595,2023-04-24,507,3921,МСК Туристская 19к1,55.85258535,37.42117234
481,2023-04-24,507,5300,Химки Зелёная 13,55.888371,37.476566
514,2023-04-24,507,3044,МО Люберцы Шевлякова 2/24,55.70124222,37.88604074
835,2023-04-24,507,1882,МО Дубна Тверская 12,56.762163,37.136345
478,2023-04-24,507,2025,МСК Таможенный пр 6с9,55.7516608,37.67953669
431,2023-04-24,507,106937,МО рп Деденево Московское шоссе 13с3,56.239817,37.522932
487,2023-04-24,507,108780,МО с Ильинское Бригадная вл105,55.239081,37.970183
527,2023-04-24,507,124585,МСК Беговая 32,55.78251,37.562008
